psnum_na,psnum_ps,turnout_percentage_ps,total_votes,psnum,pti_acc_ecp,est_acc_ecp,total_votes_acc_ecp,pti_acc_pti,est_acc_pti,total_votes_acc_pti,pti_acc_pti_fixed,est_acc_pti_fixed,total_votes_acc_pti_fixed,est_diff,pti_diff,total_votes_diff,ecp_pti_discrepency,pti_won_acc_ecp,ecp_winner,pti_winner,name,registered_voters,turnout_acc_ecp,turnout_acc_pti
,,0.3446945337620579,,180,120,64,536.0,120.0,64.0,,120.0,64.0,536.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,49,1555,0.3446945337620579,0.3446945337620579
181.0,59.0,0.3343701399688958,430.0,181,122,39,429.0,122.0,39.0,429.0,122.0,39.0,429.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,49,1286,0.33359253499222397,0.33359253499222397
182.0,60.0,0.387468671679198,773.0,182,207,97,771.0,207.0,97.0,769.0,207.0,97.0,769.0,0.0,0.0,2.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,50,1995,0.38646616541353385,0.3854636591478697
183.0,61.0,0.2762508809020437,392.0,183,104,35,391.0,104.0,35.0,391.0,104.0,35.0,391.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,50,1419,0.2755461592670895,0.2755461592670895
184.0,62.0,0.27200902934537247,482.0,184,148,108,482.0,148.0,108.0,477.0,148.0,108.0,477.0,0.0,0.0,5.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,51,1772,0.27200902934537247,0.26918735891647855
185.0,63.0,0.33704918032786885,514.0,185,173,133,512.0,173.0,133.0,512.0,173.0,133.0,512.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,51,1525,0.3357377049180328,0.3357377049180328
,,0.2433392539964476,,186,82,47,274.0,82.0,47.0,,82.0,47.0,274.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,51,1126,0.2433392539964476,0.2433392539964476
,,0.349437148217636,,187,226,72,745.0,226.0,72.0,745.0,226.0,72.0,745.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,51,2132,0.349437148217636,0.349437148217636
,,0.21633888048411498,,188,100,25,286.0,100.0,25.0,286.0,100.0,25.0,286.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,52,1322,0.21633888048411498,0.21633888048411498
,,0.8803680981595092,,189,156,1017,1435.0,156.0,20.0,435.0,156.0,20.0,435.0,997.0,0.0,1000.0,False,False,SYED MUSTAFA KAMAL MQM,DAWA KHAN SABIR  PTI,52,1630,0.8803680981595092,0.2668711656441718
