PSNO_NA_ECP,PSNO_PA_ECP,PA_NO,PS_REGISTERED_VOTERS,WINNER_ECP,OPP_VOTES_ECP,PTI_VOTES_ECP,TURNOUT_NA_ECP,TURNOUT_NA_PERCENTAGE_ECP,TURNOUT_PA_ECP,TURNOUT_PA_PERCENTAGE_ECP,TURNOUT_DIFFERENCE,OPP_VOTES_PTI,PTI_VOTES_PTI,TURNOUT_NA_PTI,ECP_PTI_DIFFERENCE_OPP_VOTES
202,127,110,1715,Khurram Sher Zaman,21,80,243,14.16909621,616,35.91836735,373,16,423,606,64
203,128,110,1745,Khurram Sher Zaman,12,421,458,26.24641834,597,34.21203438,139,405,405,889,16
204,129,110,2310,Khurram Sher Zaman,76,423,611,26.45021645,695,30.08658009,84,Missing,Missing,Missing,#VALUE!
205,130,110,2237,Khurram Sher Zaman,66,405,478,21.36790344,652,29.14617792,174,39,454,650,366
206,131,110,2055,Khurram Sher Zaman,17,45,95,4.622871046,531,25.83941606,436,29,387,524,16
207,132,110,2166,Khurram Sher Zaman,4,54,80,3.693444137,677,31.25577101,597,16,506,657,38
208,133,110,1449,Khurram Sher Zaman,11,38,49,3.381642512,431,29.74465148,382,11,310,431,27
209,134,110,1529,Mirza Ikhtiar Baig,65,56,121,7.913669065,449,29.36559843,328,Missing,Missing,Missing,#VALUE!
210,135,110,1807,Khurram Sher Zaman,14,21,80,4.427227449,460,25.45655783,380,Missing,Missing,Missing,#VALUE!
211,136,110,1517,Khurram Sher Zaman,15,298,344,22.67633487,383,25.24719842,39,17,304,381,281
212,137,110,1833,Khurram Sher Zaman,65,294,423,23.07692308,506,27.60501909,83,23,377,471,271
213,138,110,2052,Khurram Sher Zaman,5,304,309,15.05847953,542,26.41325536,233,20,395,542,284
214,139,110,2447,Khurram Sher Zaman,6,377,562,22.96689824,576,23.53902738,14,17,451,579,360
215,140,110,2049,Khurram Sher Zaman,332,396,895,43.67984383,613,29.9170327,282,34,426,606,362
