PSNO_NA_ECP,PSNO_PA_ECP,PA_NO,PS_REGISTERED_VOTERS,WINNER_ECP,OPP_VOTES_ECP,PTI_VOTES_ECP,TURNOUT_NA_ECP,TURNOUT_NA_PERCENTAGE_ECP,TURNOUT_PA_ECP,TURNOUT_PA_PERCENTAGE_ECP,TURNOUT_DIFFERENCE,OPP_VOTES_PTI,PTI_VOTES_PTI,TURNOUT_NA_PTI,ECP_PTI_DIFFERENCE_OPP_VOTES,Comments
266,88,100,2380,Hassan Nasir (MQM),179,0,595,0.25000000,737,0.30966387,142,,,,,
267,89,100,2381,Hassan Nasir (MQM),179,0,595,0.24989500,768,0.32255355,173,,,,,
268,90,100,1159,Hassan Nasir (MQM),87,0,290,0.25021570,310,0.26747196,20,,,,,
269,91,100,1594,Hassan Nasir (MQM),120,0,399,0.25031368,494,0.30991217,95,,,,,
270,92,100,1647,Hassan Nasir (MQM),86,0,287,0.17425622,397,0.24104432,110,,,,,
271,93,100,1146,Hassan Nasir (MQM),86,0,286,0.24956370,332,0.28970332,46,,,,,
272,94,100,1909,Hassan Nasir (MQM),143,0,477,0.24986904,649,0.33996857,172,,,,,
273,95,100,1441,Hassan Nasir (MQM),108,0,360,0.24982651,332,0.23039556,28,,,,,
274,96,100,1615,Hassan Nasir (MQM),121,0,405,0.25077399,500,0.30959752,95,,,,,
275,97,100,1990,Hassan Nasir (MQM),149,0,497,0.24974874,458,0.23015075,39,,,,,
276,98,100,1537,Hassan Nasir (MQM),115,0,385,0.25048796,446,0.29017567,61,,,,,
277,99,100,2262,Hassan Nasir (MQM),170,0,565,0.24977896,701,0.30990274,136,,,,,
278,100,100,1663,Hassan Nasir (MQM),125,0,416,0.25015033,532,0.31990379,116,,,,,
